tweet_id,tweet_date,tweet_source,tweet_text,tweet_user,tweet_favorites,tweet_retweets,
1.27E+18,19-06-2020 16:01,Twitter for Android,"So,  all Victims of Land slides &amp; Cloud Bursts as usual every year is it nit??  #IndiaVsChina a HOAX now.... from S… https://t.co/22EJyIT4kQ",VE23VJAY,1,0,
,,,,,,,
1.27E+18,19-06-2020 15:25,Twitter Web App,"Watch our new video 
Taiwan openly supports india👍
#india #taiwan #china #narendramodi #indiavschina… https://t.co/NTNIwlWFRR",TheRoundCircle1,0,0,
,,,,,,,
1.27E+18,19-06-2020 15:23,Twitter for Android,"Our #IndiaVsChina protest converts to #BJPVsChina or #BJPvsCongress, 
our protest for #ShushantSinghRajput converts… https://t.co/RHigMcugIT",VarshaRajak6,1,1,
,,,,,,,
1.27E+18,19-06-2020 15:11,Twitcher_jtn,"RT @AvpTube: #AvpTube  #MadeInIndia 100% Secure App
Uninstall Now #Tiktok Other Video App
And Download Only One App And get all video app f…",Jimmy_the_Newb,0,1,
,,,,,,,
1.27E+18,19-06-2020 15:08,Twitter for iPhone,"RT @ManojGoelBJP: This is the budget of Border Road Project.
This is where #Leadership matters most.
And if you still doubt search the inte…",prabhat_sharma3,0,1,
,,,,,,,
1.27E+18,19-06-2020 15:06,Twitcher_jtn,"RT @AvpTube: #AvpTube  #MadeInIndia 100% Secure App
Uninstall Now #Tiktok Other Video App
And Download Only One App And get all video app f…",Jimmy_the_Newb,0,1,
,,,,,,,
1.27E+18,19-06-2020 14:57,Twitter for Android,"Bs Dk....Shame Of Bollywood Celebs👊😡@itzs2k
@SrBachchan 
@aamir_khan @BeingSalmanKhan @deepikapadukone… https://t.co/gqOVhgfpFK",itzs2k,2,0,
,,,,,,,
1.27E+18,19-06-2020 14:40,Twitter for Android,"RT @iamrightwing_: #BoycottChina with a Twist 😜

#chinaindiaborder #ChineseProductsInDustbin #China #IndiaStandWithArmyAndModi #IndianArmy…",amanporwal75,0,6,
,,,,,,,
1.27E+18,19-06-2020 14:23,Twitter for iPhone,"This is the budget of Border Road Project.
This is where #Leadership matters most.
And if you still doubt search th… https://t.co/hDRxzm0WwZ",ManojGoelBJP,7,1,
,,,,,,,
